snapshot_month,product_id,region,quantity_available
2023-01,P00001,Northeast,168
2023-02,P00001,Midwest,106
2023-03,P00001,West,253
2023-04,P00001,Southwest,73
2023-05,P00001,Southeast,222
2023-06,P00001,Midwest,171
2023-07,P00001,Southwest,324
2023-08,P00001,West,31
2023-09,P00001,West,130
2023-10,P00001,Southeast,99
2023-11,P00001,Southeast,143
2023-12,P00001,Northeast,93
2024-01,P00001,Midwest,376
2024-02,P00001,Midwest,241
2023-01,P00002,West,329
2023-02,P00002,Southwest,80
2023-03,P00002,Midwest,394
2023-04,P00002,Southeast,42
2023-05,P00002,West,268
2023-06,P00002,West,349
2023-07,P00002,Northeast,354
2023-08,P00002,Southeast,54
2023-09,P00002,Midwest,118
2023-10,P00002,Midwest,280
2023-11,P00002,West,212
2023-12,P00002,Southeast,373
2024-01,P00002,Southeast,391
2024-02,P00002,Northeast,31
2023-01,P00003,Southeast,-50
2023-02,P00003,West,286
2023-03,P00003,Northeast,60
2023-04,P00003,Southwest,107
2023-05,P00003,West,164
2023-06,P00003,Southwest,75
2023-07,P00003,West,227
2023-08,P00003,Midwest,75
2023-09,P00003,Northeast,247
2023-10,P00003,Northeast,206
2023-11,P00003,Southeast,-23
2023-12,P00003,West,191
2024-01,P00003,Northeast,232
2024-02,P00003,West,267
2023-01,P00004,West,131
2023-02,P00004,West,32
2023-03,P00004,Northeast,369
2023-04,P00004,Northeast,92
2023-05,P00004,Midwest,385
2023-06,P00004,West,226
2023-07,P00004,Midwest,74
2023-08,P00004,Midwest,375
2023-09,P00004,Southwest,173
2023-10,P00004,West,367
2023-11,P00004,Northeast,276
2023-12,P00004,Southeast,148
2024-01,P00004,Southeast,317
2024-02,P00004,Southeast,209
2023-01,P00005,Southeast,306
2023-02,P00005,West,309
2023-03,P00005,Southeast,105
2023-04,P00005,Southeast,135
2023-05,P00005,West,398
2023-06,P00005,West,118
2023-07,P00005,West,101
2023-08,P00005,Southeast,161
2023-09,P00005,Southeast,372
2023-10,P00005,Northeast,171
2023-11,P00005,Midwest,369
2023-12,P00005,Southeast,288
2024-01,P00005,Midwest,243
2024-02,P00005,Southeast,378
2023-01,P00006,Southeast,191
2023-02,P00006,Northeast,212
2023-03,P00006,Northeast,397
2023-04,P00006,West,320
2023-05,P00006,Northeast,256
2023-06,P00006,Midwest,121
2023-07,P00006,West,217
2023-08,P00006,Northeast,256
2023-09,P00006,Southeast,189
2023-10,P00006,Southeast,110
2023-11,P00006,Northeast,138
2023-12,P00006,Southeast,204
2024-01,P00006,Northeast,253
2024-02,P00006,West,189
2023-01,P00007,Northeast,98
2023-02,P00007,Midwest,342
