order_item_id,order_id,product_id,quantity_sold,unit_sale_price,discount_pct
OI0000021,O000012,P00028,4,222.77,0.163
OI0000025,O000014,P00015,1,238.47,0.051
OI0000043,O000025,P00007,3,266.95,0.052
OI0000062,O000036,P00005,3,92.13,0.055
OI0000063,O000036,P00007,1,266.95,0.0
OI0000075,O000042,P00039,2,184.65,0.103
OI0000119,O000067,P00012,2,126.1,0.013
OI0000120,O000068,P00001,2,13.59,0.103
OI0000122,O000069,P00027,4,401.48,0.085
OI0000126,O000070,P00005,1,92.13,0.09
OI0000128,O000072,P00039,1,184.65,0.0
OI0000143,O000079,P00005,4,92.13,0.115
OI0000162,O000093,P00034,1,94.04,0.109
OI0000165,O000094,P00007,1,266.95,0.149
OI0000173,O000101,P00031,2,144.54,0.112
OI0000191,O000110,P00010,1,20.14,0.008
OI0000213,O000122,P00009,2,29.76,0.145
OI0000225,O000128,P00009,1,29.76,0.197
OI0000234,O000132,P00020,5,83.22,0.016
OI0000248,O000140,P00031,3,144.54,0.188
OI0000264,O000148,P00003,2,104.91,0.171
OI0000267,O000149,P00009,1,29.76,0.13
OI0000283,O000157,P00033,1,113.64,0.144
OI0000286,O000158,P00020,1,71.0,0.056
OI0000288,O000159,P00025,1,93.08,0.182
OI0000294,O000163,P00010,1,20.14,0.098
OI0000296,O000163,P00037,2,114.21,0.074
OI0000311,O000169,P00021,1,70.36,0.069
OI0000322,O000173,P00021,1,70.36,0.0
OI0000324,O000174,P00024,3,22.98,0.104
OI0000340,O000183,P00020,1,83.22,0.051
OI0000357,O000189,P00019,1,87.92,0.116
OI0000366,O000194,P00036,2,81.73,0.034
OI0000397,O000212,P00007,5,266.95,0.0
OI0000398,O000212,P00033,3,113.64,0.199
OI0000400,O000212,P00037,1,114.21,0.126
OI0000407,O000216,P00019,1,87.92,0.0
OI0000408,O000216,P00021,2,70.36,0.139
OI0000431,O000227,P00021,1,70.36,0.085
OI0000442,O000235,P00039,3,184.65,0.057
OI0000448,O000237,P00040,1,172.51,0.078
OI0000454,O000241,P00038,2,43.24,0.0
OI0000456,O000242,P00032,1,232.3,0.157
OI0000463,O000247,P00020,5,83.22,0.018
OI0000464,O000247,P00040,2,172.51,0.29
OI0000470,O000249,P00005,1,92.13,0.146
OI0000473,O000250,P00013,1,5.84,0.0
OI0000474,O000251,P00037,1,114.21,0.126
OI0000492,O000257,P00039,2,147.82,0.21
OI0000496,O000260,P00018,1,50.13,0.115
OI0000544,O000284,P00010,3,20.14,0.054
OI0000547,O000285,P00004,1,54.74,0.086
OI0000594,O000315,P00020,4,83.22,0.016
OI0000599,O000319,P00011,1,118.52,0.133
OI0000602,O000321,P00025,1,93.08,0.0
OI0000612,O000328,P00005,1,92.13,0.013
OI0000628,O000335,P00003,5,104.91,0.069
OI0000636,O000338,P00028,2,222.77,0.103
