order_id,order_date,customer_id,region,channel,status
O000012,2023-01-01,C000240,West,online,completed
O000014,2023-01-01,C003643,Northeast,online,completed
O000025,2023-01-01,C000525,West,retail,completed
O000036,2023-01-02,C001074,Southeast,online,completed
O000042,2023-01-02,C003066,Southwest,marketplace,completed
O000067,2023-01-03,C001302,Southwest,online,completed
O000068,2023-01-03,C001535,Southwest,online,completed
O000069,2023-01-03,C002428,Midwest,online,completed
O000070,2023-01-03,C003248,Southwest,marketplace,completed
O000072,2023-01-03,C002785,Northeast,marketplace,completed
O000079,2023-01-04,C003751,West,online,completed
O000093,2023-01-04,C000439,West,online,completed
O000094,2023-01-04,C000664,West,retail,completed
O000101,2023-01-04,C000073,West,marketplace,completed
O000110,2023-01-05,C000778,Southwest,online,completed
O000122,2023-01-05,C004217,Northeast,retail,completed
O000128,2023-01-05,C003058,Southwest,retail,completed
O000132,2023-01-06,C002397,West,online,completed
O000140,2023-01-06,C002234,West,online,completed
O000148,2023-01-06,C002782,Southeast,retail,completed
O000149,2023-01-06,C000739,Midwest,online,pending
O000157,2023-01-07,C001085,West,online,completed
O000158,2023-01-07,C000708,Southeast,retail,completed
O000159,2023-01-07,C001056,Midwest,retail,completed
O000163,2023-01-07,C000723,West,online,pending
O000169,2023-01-07,C003610,West,retail,completed
O000173,2023-01-07,C002860,West,retail,completed
O000174,2023-01-07,C002188,Southeast,retail,completed
O000183,2023-01-08,C000342,Southeast,online,completed
O000189,2023-01-08,C002807,West,marketplace,completed
O000194,2023-01-08,C004991,Southwest,retail,completed
O000212,2023-01-09,C000081,West,retail,completed
O000216,2023-01-09,C002205,West,online,completed
O000227,2023-01-09,C002647,West,retail,completed
O000235,2023-01-10,C003050,Midwest,online,completed
O000237,2023-01-10,C003214,Midwest,online,completed
O000241,2023-01-10,C004389,Southwest,online,completed
O000242,2023-01-10,C004539,Northeast,retail,completed
O000247,2023-01-10,C004486,Southeast,online,completed
O000249,2023-01-10,C001852,Midwest,retail,pending
O000250,2023-01-10,C003050,Southwest,online,completed
O000251,2023-01-10,C001042,West,online,completed
O000257,2023-01-11,C001837,Northeast,online,completed
O000260,2023-01-11,C002566,West,retail,completed
O000284,2023-01-12,C003493,Southeast,online,completed
O000285,2023-01-12,C002714,West,online,completed
O000315,2023-01-13,C004023,Northeast,marketplace,completed
O000319,2023-01-13,C004227,Northeast,online,cancelled
O000321,2023-01-13,C002958,Southwest,online,completed
O000328,2023-01-13,C003108,West,retail,completed
O000335,2023-01-14,C001116,Southwest,marketplace,completed
O000338,2023-01-14,C004031,West,retail,completed
O000339,2023-01-14,C004000,West,retail,completed
O000343,2023-01-14,C003958,Northeast,marketplace,completed
O000354,2023-01-14,C001221,Southeast,online,completed
O000359,2023-01-15,C001543,Southeast,online,completed
O000360,2023-01-15,C000567,Northeast,online,cancelled
O000364,2023-01-15,C002830,West,online,completed
O000366,2023-01-15,C001165,West,online,completed
O000374,2023-01-15,C004759,West,online,completed
O000377,2023-01-16,C002898,West,retail,completed
O000384,2023-01-16,C002396,West,online,completed
O000387,2023-01-16,C000498,Southeast,online,completed
